1,10,image_star,025_star_empt,CheckBoxAuqamarine,lee min goo,2222222,switch_on
2,9,image_star,025_star_empt,CheckBoxAuqamarine,ham,2222211,switch_off
3,8,image_star,026_star,question_mark_yellow_60x63,sungsuk,2222000,switch_on
4,7,image_star,026_star,CheckBoxRed,kang,2220000,switch_off
5,6,image_star,025_star_empt,question_mark_blue_60x63,blue,2200000,switch_on
6,5,image_star,025_star_empt,CheckBoxRed,red,2100000,switch_on
7,4,image_star,025_star_empt,question_mark_green_60x63,green,2000000,switch_off
8,3,image_star,026_star,CheckBoxAuqamarine,silver,1900000,switch_off
9,2,image_star,026_star,question_mark_yellow_60x63,yellow,1700000,switch_off
10,1,image_star,045_bar_head,question_mark_orange_60x63,gold,1500000,switch_off
